,Company,TypeName,Ram,Weight,Touchscreen,Ips,ppi,Cpu brand,HDD,SSD,Gpu brand,Price,os
0,Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,128,Intel,117263.0657,Mac
1,Apple,Ultrabook,8,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,78684.2182,Mac
2,HP,Notebook,8,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,50329.75,Others/No OS/Linux
3,Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,222102.9985,Mac
4,Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,157869.108,Mac
5,Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,35012,Windows
6,Apple,Ultrabook,16,2.04,0,1,220.5346239,Intel Core i7,0,0,Intel,187311.5741,Mac
7,Apple,Ultrabook,8,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,101421.011,Mac
8,Asus,Ultrabook,16,1.3,0,0,157.3505121,Intel Core i7,0,512,Nvidia,130857.35,Windows
9,Acer,Ultrabook,8,1.6,0,1,157.3505121,Intel Core i5,0,256,Intel,67398.1,Windows
10,HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i5,500,0,Intel,34478.067,Others/No OS/Linux
11,HP,Notebook,4,1.86,0,0,141.2119981,Intel Core i3,500,0,Intel,30196.9747,Others/No OS/Linux
12,Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,256,AMD,213570.5741,Mac
13,Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,43668.717,Windows
14,Apple,Ultrabook,8,0.92,0,1,226.4155472,Other Intel Processor,0,256,Intel,110497.872,Mac
15,Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,132918.6815,Mac
16,Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,65209.85,Windows
17,Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,250160.74,Mac
18,Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,43677.47,Others/No OS/Linux
19,Dell,Ultrabook,8,1.22,1,1,165.6321181,Intel Core i5,0,128,Intel,85691.87,Windows
20,Asus,Netbook,2,0.98,0,0,135.0942112,Other Intel Processor,0,0,Intel,16797.007,Windows
21,Lenovo,Gaming,8,2.5,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,87442.47,Windows
